WT	drdd	logFC_drdd_WT	PValue_drdd_WT	FDR_drdd_WT
AT1TE14860	0	0	0	1	1
AT1TE14865	0	0	0	1	1
AT1TE14870	0	0	0	1	1
AT1TE14900	0	0	0	1	1
AT1TE14905	0	0	0	1	1
AT1TE14910	0	0	0	1	1
AT1TE14990	0	0	0	1	1
AT1TE15090	0	0	0	1	1
AT1TE15095	0	0	0	1	1
AT1TE15100	0	0	0	1	1
AT1TE15105	0	0	0	1	1
AT1TE15170	0	0	0	1	1
AT1TE15175	0	0	0	1	1
AT1TE15180	0	0	0	1	1
AT1TE15190	0	0	0	1	1
AT1TE15240	0	0	0	1	1
AT1TE15245	0	0	0	1	1
AT1TE15370	2781.96835308524	3665.98547512762	0.379372038426661	0.233036217468698	1
AT1TE15440	0	0	0	1	1
AT1TE15445	0	0	0	1	1
AT1TE15450	0	0	0	1	1
AT1TE15455	0	0	0	1	1
AT1TE15500	0	0	0	1	1
AT1TE15505	0	0	0	1	1
AT1TE15510	0	0	0	1	1
AT1TE15515	0	0	0	1	1
AT1TE15600	0	0	0	1	1
AT1TE15650	0	0	0	1	1
AT1TE15660	0	0	0	1	1
AT1TE15700	0	0	0	1	1
AT1TE15780	0	0	0	1	1
AT1TE15785	0	0	0	1	1
AT1TE15840	18.3552928653171	0	-2.71761380458697	0.51001645789579	1
AT1TE15890	4988.11759554944	5563.93754621533	0.158579554105543	0.756872237901048	1
AT1TE15960	0	0	0	1	1
AT1TE16010	0	0	0	1	1
AT1TE16080	0	0	0	1	1
AT1TE16150	0	0	0	1	1
AT1TE16155	0	0	0	1	1
AT1TE16260	0	0	0	1	1
AT1TE16265	246.425727440687	538.344308606798	0.988793451029694	0.258481876498196	1
AT1TE16275	4603.09081656786	3149.24125725492	-0.555208726063381	0.16494789950202	1
AT1TE16320	0	0	0	1	1
AT1TE16325	20.1676758462828	46.1300823037118	1.03488832886456	0.720237281107893	1
AT1TE16330	0	0	0	1	1
AT1TE16370	0	0	0	1	1
AT1TE16450	0	0	0	1	1
AT1TE16500	0	0	0	1	1
AT1TE16505	0	0	0	1	1
AT1TE16580	0	0	0	1	1
AT1TE16590	0	0	0	1	1
AT1TE16595	0	0	0	1	1
